x,temperature_pattern,humidity_pattern,pressure_pattern,wind_pattern
99,17.0,94,1011.0,13.0
100,16.0,77,1012.0,11.2
101,21.0,56,1026.0,24.1
102,18.0,88,1029.0,19.1
103,27.0,89,1007.0,3.6
104,25.3,87,1010.0,42.8
105,23.0,100,1016.0,13.0
106,28.0,42,1012.0,20.2
107,29.0,75,1008.0,11.2
108,28.6,70,1013.0,19.8
109,26.0,70,1021.0,15.1
110,16.0,77,1026.0,11.2
111,26.0,100,1009.0,6.1
112,36.5,12,1004.0,20.5
113,22.0,73,1002.0,20.2
114,26.0,32,1018.0,11.2
115,25.0,65,1006.0,3.6
116,24.0,78,1013.0,11.2
117,21.0,64,1033.0,16.9
118,30.0,68,1002.0,16.6
119,20.0,43,1031.0,6.1
120,28.0,55,1007.0,3.6
121,28.0,58,1010.0,11.2
122,19.0,73,1011.0,15.1
123,9.0,81,1024.0,19.1
124,25.0,100,1010.0,3.6
125,30.0,62,1015.0,19.1
126,28.0,74,1017.0,11.2
127,22.0,88,1006.0,10.1
128,30.0,43,1005.0,3.6
129,12.0,94,1004.0,29.9
130,33.0,80,1000.0,24.1
131,31.9,45,1005.0,5.8
132,29.0,84,1008.0,19.1
133,22.5,57,1011.0,3.6
134,27.0,89,1011.0,6.1
135,24.4,80,1011.0,28.4
136,22.8,40,1012.0,4.7
137,16.2,86,1014.0,10.8
138,27.0,89,1002.0,20.2
139,22.0,83,1005.0,6.8
140,21.0,69,1019.0,3.6
141,38.0,54,1000.0,19.1
142,35.0,32,1006.0,16.9
143,16.0,68,1013.0,15.1
144,26.0,34,1024.0,22.0
145,28.0,84,1015.0,16.9
146,27.0,89,1014.0,25.9
147,28.8,78,1014.0,29.2
148,26.0,84,1013.0,20.2
149,21.0,64,1000.0,15.1
150,17.0,77,1012.0,6.8
151,42.0,6,1004.0,9.0
152,27.0,89,1011.0,6.8
153,24.0,65,1003.0,19.1
154,26.3,85,1011.0,35.3
155,24.0,100,1014.0,3.6
156,31.0,59,1007.0,11.2
157,19.0,88,1004.0,13.0
158,16.0,100,1002.0,11.2
159,27.0,79,1008.0,6.8
160,29.0,84,1015.0,28.1
161,18.0,30,1036.0,6.8
162,23.0,94,1007.0,6.8
163,31.2,43,1011.0,15.8
164,20.0,49,1018.0,6.1
165,31.0,66,1008.0,29.9
166,30.4,49,1009.0,29.2
167,25.0,94,1013.0,3.6
168,18.0,64,1009.0,16.9
169,14.0,77,1013.0,3.6
170,32.0,30,1007.0,19.1
171,32.0,17,1007.0,11.2
172,23.0,53,1024.0,24.1
173,33.0,56,1003.0,11.2
174,33.5,30,1007.0,13.7
175,31.3,31,1004.0,7.2
176,21.0,78,1020.0,15.1
177,26.0,89,1013.0,3.6
178,29.0,40,1011.0,24.1
179,28.0,28,1010.0,3.6
180,35.0,19,1001.0,19.1
181,29.0,89,1009.0,9.0
182,25.0,69,1021.0,24.1
183,29.4,41,1005.0,12.6
184,45.0,10,999.0,11.2
185,18.0,68,1012.0,13.0
186,23.3,45,1011.0,15.1
187,7.0,93,1024.0,11.2
188,31.0,14,1006.0,15.1
189,22.0,100,1013.0,19.1
190,25.0,79,1013.0,11.2
191,30.0,66,1003.0,11.2
192,25.3,31,1010.0,6.5
193,19.8,28,1025.0,19.1
194,19.0,25,1026.0,16.9
